t,theta_student,phi_student,theta_reference,phi_reference
1.850000000000000089e+00,2.316813105143752938e-01,4.686691905563056260e+00,-1.319328406352133776e-01,5.927829033289862437e+00
1.860000000000000098e+00,2.385363677997958398e-01,4.734357515773957026e+00,-1.257535560520382512e-01,5.945977214059014138e+00
1.870000000000000107e+00,2.461159617821517820e-01,4.781077294472583894e+00,-1.197986406920927838e-01,5.963320641201956818e+00
1.880000000000000115e+00,2.543672419522576833e-01,4.826866524614398912e+00,-1.140666049551361805e-01,5.979882173236586773e+00
1.890000000000000124e+00,2.632373578009279957e-01,4.871740489154862352e+00,-1.085559592409276325e-01,5.995684668680801188e+00
1.900000000000000133e+00,2.726734588189773101e-01,4.915714471049437151e+00,-1.032652139492263449e-01,6.010750986052493694e+00
1.910000000000000142e+00,2.826226944972201061e-01,4.958803753253582691e+00,-9.819287947979153663e-02,6.025103983869563251e+00
1.919999999999999929e+00,2.930322143264706414e-01,5.001023618722760133e+00,-9.333746623238249607e-02,6.038766520649902603e+00
1.929999999999999938e+00,3.038491677975440064e-01,5.042389350412433302e+00,-8.869748460675822010e-02,6.051761454911410709e+00
1.939999999999999947e+00,3.150537998821550389e-01,5.082918146825403660e+00,-8.426903995407659942e-02,6.064109061305914317e+00
1.949999999999999956e+00,3.265536234291589457e-01,5.122604192446908122e+00,-8.004638033774889860e-02,6.075842005142073177e+00
1.959999999999999964e+00,3.382932030569789084e-01,5.161443181775140943e+00,-7.602312093514854152e-02,6.086984597745963121e+00
1.969999999999999973e+00,3.502360325096027238e-01,5.199433389027261931e+00,-7.219268032684118819e-02,6.097559968594267410e+00
1.979999999999999982e+00,3.623456055310182444e-01,5.236573088420431787e+00,-6.854847709339251249e-02,6.107591247163673742e+00
1.989999999999999991e+00,3.745854158652133781e-01,5.272860554171810321e+00,-6.508392981536820221e-02,6.117101562930866265e+00
2.000000000000000000e+00,3.869189572561759771e-01,5.308294060498558231e+00,-6.179245707333394511e-02,6.126114045372530903e+00
2.010000000000000231e+00,3.993097234478941715e-01,5.342871881617835328e+00,-5.866747744785532487e-02,6.134651823965352690e+00
2.020000000000000018e+00,4.117212081843549809e-01,5.376592291746800534e+00,-5.570240951949825131e-02,6.142738028186018440e+00
2.030000000000000249e+00,4.241169052095473124e-01,5.409453565102615435e+00,-5.289185701595715966e-02,6.150390478644840009e+00
2.040000000000000036e+00,4.364603082674579637e-01,5.441453975902438067e+00,-5.022675484632155296e-02,6.157637227742974950e+00
2.049999999999999822e+00,4.487149111020753978e-01,5.472591798363430016e+00,-4.770042355030442577e-02,6.164498310167338957e+00
2.060000000000000053e+00,4.608621092423368371e-01,5.502874542747129283e+00,-4.530707028089948907e-02,6.170990596173028919e+00
2.069999999999999840e+00,4.728592848627917178e-01,5.532288689453067398e+00,-4.304090219110079385e-02,6.177130956015140839e+00
2.080000000000000071e+00,4.846858037851141665e-01,5.560838555595745802e+00,-4.089612643390192620e-02,6.182936259948771607e+00
2.089999999999999858e+00,4.963275283326622489e-01,5.588532888071557458e+00,-3.886695016229690935e-02,6.188423378229015448e+00
2.100000000000000089e+00,5.077703208287959180e-01,5.615380433776900659e+00,-3.694758052927938491e-02,6.193609181110970141e+00
2.109999999999999876e+00,5.190000435968731285e-01,5.641389939608168369e+00,-3.513222468784333447e-02,6.198510538849730800e+00
2.120000000000000107e+00,5.300025589602539444e-01,5.666570152461759768e+00,-3.341842015927153076e-02,6.203134672142909700e+00
2.129999999999999893e+00,5.407637292422963204e-01,5.690929819234068709e+00,-3.179766926117379849e-02,6.207505485404642087e+00
2.140000000000000124e+00,5.512694167663602096e-01,5.714477686821491709e+00,-3.026318459071021538e-02,6.211641989224637506e+00
2.149999999999999911e+00,5.615254200071020385e-01,5.737229013150844992e+00,-2.881150068465136022e-02,6.215553700338040777e+00
2.160000000000000142e+00,5.715019853306739783e-01,5.759190644851025276e+00,-2.743915207976755158e-02,6.219250135479994057e+00
2.169999999999999929e+00,5.811913634384295868e-01,5.780377564979992222e+00,-2.614267331282936133e-02,6.222740811385643056e+00
2.180000000000000160e+00,5.905960987565445075e-01,5.800807963726910543e+00,-2.491859892060712192e-02,6.226035244790131706e+00
2.189999999999999947e+00,5.997187357111929407e-01,5.820500031280937847e+00,-2.376346343987139134e-02,6.229142952428603053e+00
2.200000000000000178e+00,6.085618187285507519e-01,5.839471957831239735e+00,-2.267380140739251593e-02,6.232073451036201917e+00
2.209999999999999964e+00,6.171278922347921414e-01,5.857741933566973813e+00,-2.164614735994103978e-02,6.234836257348071342e+00
2.220000000000000195e+00,6.254195006560928638e-01,5.875328148677303908e+00,-2.067703583428731617e-02,6.237440888099357039e+00
2.229999999999999982e+00,6.334391884186271193e-01,5.892248793351390290e+00,-1.976300136720188227e-02,6.239896860025202940e+00
2.240000000000000213e+00,6.411894999485706625e-01,5.908522057778395897e+00,-1.890057849545511218e-02,6.242213689860751202e+00
2.250000000000000000e+00,6.486729796720976937e-01,5.924166132147481001e+00,-1.808769155034560885e-02,6.244397088339261437e+00
2.260000000000000231e+00,6.558921720153840784e-01,5.939199206647807650e+00,-1.732133051278741259e-02,6.246455132330129167e+00
2.270000000000000018e+00,6.628496214046039059e-01,5.953639471468536115e+00,-1.659779130348747536e-02,6.248397844462021844e+00
2.280000000000000249e+00,6.695477004060044202e-01,5.967503436264174788e+00,-1.591538394136149392e-02,6.250229788873127745e+00
2.290000000000000036e+00,6.759923853378128067e-01,5.980802144649207008e+00,-1.527241844532528127e-02,6.251955529701634262e+00
